race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,StudentId,Target
group B,bachelor's degree,standard,completed,66,74,81,632,female
group D,bachelor's degree,free/reduced,none,73,79,84,282,female
group D,some high school,standard,none,80,90,82,376,female
group A,some high school,free/reduced,none,38,43,43,384,female
group B,associate's degree,standard,completed,52,66,73,224,female
group C,high school,standard,completed,58,52,54,953,male
group C,high school,standard,none,72,80,83,814,female
group C,associate's degree,standard,completed,68,86,84,472,female
group C,bachelor's degree,standard,completed,77,94,95,347,female
group B,some high school,standard,none,82,82,80,505,female
group D,associate's degree,standard,none,76,74,73,639,female
group E,some high school,standard,completed,81,75,76,987,male
group E,associate's degree,free/reduced,completed,46,43,44,928,male
group D,some college,standard,none,88,77,77,905,male
group C,associate's degree,free/reduced,completed,65,73,68,619,male
group B,bachelor's degree,standard,none,97,97,96,855,female
group B,some college,standard,none,82,85,87,803,female
group B,bachelor's degree,standard,completed,65,81,81,645,female
group C,master's degree,standard,completed,91,85,85,846,male
group C,associate's degree,standard,completed,55,72,79,556,female
group D,master's degree,standard,none,92,100,100,957,female
group B,high school,standard,none,81,91,89,577,female
group E,associate's degree,free/reduced,completed,57,68,73,795,female
group C,some college,standard,none,73,80,82,85,female
group D,high school,standard,none,56,52,55,242,female
group D,associate's degree,standard,completed,57,78,79,698,female
group D,associate's degree,free/reduced,none,66,62,64,159,male
group C,high school,standard,completed,53,52,49,524,male
group E,associate's degree,standard,completed,81,81,79,35,male
group C,high school,standard,completed,75,69,68,540,male
group A,high school,standard,completed,72,73,74,170,male
group B,some high school,standard,none,73,79,79,654,female
group E,some college,standard,completed,86,85,91,890,female
group C,bachelor's degree,standard,none,65,79,81,857,female
group D,high school,standard,none,64,54,50,847,male
group B,high school,standard,none,58,68,61,944,female
group D,some high school,standard,none,55,47,44,733,male
group C,associate's degree,free/reduced,completed,78,81,82,95,male
group D,some college,free/reduced,completed,63,80,80,563,female
group D,high school,free/reduced,completed,73,68,66,240,male
group C,high school,standard,none,81,84,82,742,female
group E,high school,standard,none,74,81,71,574,female
group C,associate's degree,standard,none,49,53,53,690,female
group C,bachelor's degree,free/reduced,none,53,58,55,460,male
group D,some college,free/reduced,none,77,62,64,553,male
group D,some college,free/reduced,none,69,65,74,888,female
group E,bachelor's degree,standard,none,82,62,62,206,male
group E,some college,standard,none,76,67,67,392,male
group B,high school,standard,none,42,52,51,794,female
group C,associate's degree,standard,none,85,89,95,397,female
group C,high school,standard,completed,58,75,77,766,female
group C,high school,standard,none,59,72,68,848,female
group C,high school,free/reduced,none,34,42,39,217,female
group C,some college,standard,none,76,78,75,4,male
group D,some high school,standard,none,68,71,75,768,female
group B,some high school,free/reduced,none,72,81,79,642,female
group C,some high school,free/reduced,none,48,56,51,929,female
group C,bachelor's degree,standard,completed,94,90,91,612,male
group D,associate's degree,standard,none,81,71,73,738,male
group A,some high school,standard,completed,92,100,97,546,female
group E,some college,standard,completed,81,74,71,725,male
group C,some high school,free/reduced,completed,29,40,44,683,female
group D,some college,free/reduced,none,58,67,62,98,female
group C,some college,standard,none,73,76,78,804,female
group E,some high school,standard,completed,68,51,57,727,male
group C,high school,free/reduced,completed,50,66,64,573,female
group B,associate's degree,standard,completed,65,65,63,406,male
group C,some college,free/reduced,none,63,61,54,502,male
group C,high school,standard,none,66,71,76,47,female
group E,master's degree,free/reduced,none,56,72,65,32,female
group E,associate's degree,standard,completed,94,85,82,779,male
group C,associate's degree,standard,none,66,77,73,839,female
group C,associate's degree,standard,completed,67,84,86,200,female
group D,bachelor's degree,free/reduced,completed,74,79,75,134,male
group C,bachelor's degree,standard,none,67,69,75,27,female
group C,bachelor's degree,standard,completed,63,64,66,880,male
group D,some college,standard,none,76,64,66,230,male
group A,associate's degree,free/reduced,completed,79,82,82,489,male
group B,some high school,free/reduced,completed,52,67,72,772,female
group A,some high school,standard,none,71,83,77,378,female
group B,bachelor's degree,free/reduced,none,88,75,76,288,male
group D,some college,standard,none,68,59,62,418,male
group D,high school,standard,completed,69,77,78,674,female
group D,some college,standard,none,77,68,77,391,female
group E,bachelor's degree,standard,none,68,68,64,592,male
group B,some high school,standard,none,66,69,68,498,female
group C,associate's degree,standard,none,59,66,67,138,female
group A,associate's degree,free/reduced,none,62,61,55,62,male
group C,high school,standard,none,63,69,74,471,female
group E,high school,free/reduced,none,64,62,68,647,female
group D,master's degree,standard,none,82,82,74,128,male
group B,some college,free/reduced,completed,60,62,60,976,male
group D,some college,standard,none,71,49,52,520,male
group B,associate's degree,free/reduced,completed,58,57,53,838,male
group E,associate's degree,standard,none,100,100,100,962,female
group D,some high school,standard,none,59,58,59,64,female
group C,master's degree,standard,completed,54,64,67,812,female
group A,master's degree,standard,none,50,53,58,14,female
group E,high school,free/reduced,completed,66,74,78,156,female
group C,associate's degree,free/reduced,none,55,61,54,40,male
group C,some college,standard,none,83,83,90,492,female
group A,bachelor's degree,standard,none,66,64,62,379,male
group D,some high school,standard,completed,62,66,68,187,male
group B,high school,standard,none,62,62,63,763,female
group E,associate's degree,free/reduced,completed,83,86,88,216,female
group D,some college,free/reduced,none,60,66,70,791,female
group C,some college,standard,none,53,44,42,52,male
group D,some high school,standard,none,59,72,80,878,female
group C,associate's degree,standard,none,49,51,43,337,male
group C,bachelor's degree,free/reduced,none,50,60,59,748,female
group E,associate's degree,free/reduced,completed,91,73,80,719,male
group B,some college,standard,none,47,43,41,724,male
group B,associate's degree,free/reduced,none,67,62,60,295,male
group B,some high school,standard,none,57,67,72,701,female
group D,some college,free/reduced,none,71,83,83,251,female
group E,associate's degree,standard,completed,65,75,77,726,female
group B,some college,free/reduced,none,54,54,45,461,male
group C,bachelor's degree,free/reduced,none,37,56,47,455,male
group C,high school,free/reduced,none,62,55,55,996,male
group B,some high school,standard,completed,94,86,87,815,male
group D,bachelor's degree,free/reduced,completed,39,42,38,862,male
group E,some college,free/reduced,none,71,76,70,269,female
group D,some college,free/reduced,none,65,81,77,201,female
group E,some college,free/reduced,completed,75,88,85,161,female
group C,some college,free/reduced,none,32,39,33,555,female
group C,some college,standard,none,53,39,37,729,male
group A,some college,standard,none,53,43,43,401,male
group A,bachelor's degree,standard,completed,87,84,87,702,male
group E,bachelor's degree,standard,completed,76,62,66,476,male
group D,bachelor's degree,free/reduced,none,78,90,93,821,female
group D,bachelor's degree,standard,none,75,73,74,771,male
group C,some college,standard,none,58,67,72,105,female
group B,associate's degree,standard,none,48,43,45,565,male
group D,master's degree,standard,none,73,70,75,389,male
group C,some college,standard,completed,69,90,88,1,female
group E,high school,free/reduced,none,57,58,57,937,female
group B,some high school,standard,completed,79,85,86,982,male
group C,some college,standard,none,63,74,74,561,female
group B,associate's degree,standard,none,47,49,50,80,female
group D,some high school,standard,completed,74,71,78,205,male
group E,some college,standard,none,97,87,82,34,male
group B,some high school,free/reduced,none,49,58,55,775,female
group C,master's degree,standard,none,79,78,77,508,male
group C,some high school,free/reduced,none,69,71,65,427,male
group C,associate's degree,free/reduced,none,53,61,62,454,female
group C,high school,standard,completed,69,58,53,366,male
group C,high school,free/reduced,none,27,34,36,91,male
group D,some high school,free/reduced,completed,35,55,60,339,female
group B,some high school,free/reduced,completed,63,78,79,897,female
group B,bachelor's degree,free/reduced,none,48,51,46,564,male
group C,high school,standard,none,72,80,75,345,female
group B,high school,standard,none,66,72,70,776,female
group E,bachelor's degree,standard,none,80,83,83,241,female
group A,some college,standard,completed,78,72,70,13,male
group C,high school,standard,none,71,66,65,315,male
group D,master's degree,standard,none,54,60,63,600,female
group C,associate's degree,free/reduced,none,57,78,67,387,female
group D,some college,standard,none,65,70,71,273,female
group C,high school,free/reduced,completed,53,51,51,166,male
group D,high school,free/reduced,none,39,52,46,840,female
group D,associate's degree,free/reduced,none,55,76,76,992,female
group D,associate's degree,standard,none,59,70,65,646,female
group B,high school,free/reduced,none,60,72,68,818,female
group B,associate's degree,standard,none,49,52,54,484,female
group B,high school,free/reduced,none,8,24,23,980,female
group D,master's degree,free/reduced,none,40,59,54,504,female
group C,bachelor's degree,free/reduced,completed,74,86,89,831,female
group E,some college,standard,none,59,51,43,243,male
group E,bachelor's degree,free/reduced,completed,92,100,100,566,female
group C,some college,free/reduced,none,80,64,66,875,male
group C,bachelor's degree,standard,completed,96,90,92,562,male
group E,some college,standard,completed,85,75,68,686,male
group C,bachelor's degree,standard,none,77,88,87,189,female
group B,high school,free/reduced,completed,76,85,82,782,female
group C,high school,free/reduced,none,66,66,59,699,male
group D,bachelor's degree,standard,completed,71,76,83,475,female
group B,high school,standard,none,60,68,60,681,male
group D,some college,standard,none,76,71,73,510,male
group D,some college,standard,completed,58,59,58,58,male
group B,associate's degree,standard,completed,90,90,91,474,female
group D,some college,standard,completed,74,75,79,560,female
group B,some college,free/reduced,none,75,68,65,856,male
group C,some college,standard,none,69,64,68,747,male
group B,some high school,standard,completed,60,70,70,252,female
group B,some college,free/reduced,completed,65,75,70,21,female
group C,associate's degree,free/reduced,completed,68,67,69,313,female
group B,high school,standard,completed,72,65,68,459,male
group B,associate's degree,free/reduced,completed,82,78,74,160,male
group C,some high school,standard,completed,85,92,93,276,female
group E,associate's degree,standard,none,72,57,62,955,male
group D,some college,standard,completed,76,83,79,191,male
group E,some college,standard,none,67,76,75,385,female
group A,some college,free/reduced,none,75,81,74,805,male
group B,some high school,standard,completed,63,67,67,413,male
group C,associate's degree,standard,none,64,64,70,491,female
group D,associate's degree,standard,completed,67,72,67,343,male
group A,some college,free/reduced,none,58,60,57,769,male
group B,associate's degree,free/reduced,none,53,71,67,308,female
group C,some high school,standard,none,73,66,63,661,male
group D,master's degree,standard,none,89,84,82,130,male
group C,high school,standard,none,65,69,67,663,female
group C,some college,standard,completed,70,72,76,871,female
group D,bachelor's degree,standard,none,65,67,62,99,female
group D,some high school,standard,none,74,74,72,372,male
group D,associate's degree,standard,none,71,71,74,87,female
group E,bachelor's degree,standard,none,100,100,100,458,female
group C,high school,standard,none,71,60,61,330,male
group E,high school,standard,completed,87,91,81,214,male
group D,associate's degree,free/reduced,none,26,31,38,466,female
group B,associate's degree,standard,completed,91,89,92,121,male
group A,associate's degree,standard,none,82,93,93,614,female
group D,high school,standard,none,66,69,63,20,male
group E,bachelor's degree,standard,completed,79,81,82,700,female
group D,some college,standard,completed,63,55,63,71,male
group D,master's degree,standard,none,87,100,100,106,female
group C,bachelor's degree,standard,none,69,63,61,270,male
group C,associate's degree,standard,none,53,62,53,860,female
group C,some college,free/reduced,completed,50,48,53,435,male
group D,associate's degree,standard,none,85,91,89,102,female
